"","treatment","woreAnticonflictWristband","studentID","eligible","hasOlderSiblings","friend1","friend2","friend3","friend4","friend5","friend6","friend7","friend8","friend9","friend10","grade","black","female","school_id","student_block","hasCellphone","hasCollegePlan","hispanic"
"4952",0,NA,"SCHID27_STID133",0,0,"SCHID27_STID126","SCHID27_STID151","SCHID27_STID134","SCHID27_STID141",NA,NA,NA,NA,NA,NA,7,0,1,27,0,1,1,1
"4953",0,1,"SCHID27_STID134",0,1,"SCHID27_STID141","SCHID27_STID151","SCHID27_STID246",NA,NA,NA,NA,NA,NA,NA,7,1,1,27,0,1,1,1
"4954",0,1,"SCHID27_STID135",0,0,"SCHID27_STID151","SCHID27_STID147","SCHID27_STID132","SCHID27_STID148","SCHID27_STID138",NA,NA,NA,NA,NA,7,0,1,27,0,1,1,1
"4955",0,0,"SCHID27_STID136",0,0,"SCHID27_STID149","SCHID27_STID137","SCHID27_STID131","SCHID27_STID133","SCHID27_STID144",NA,NA,NA,NA,NA,7,1,1,27,0,0,1,0
"4956",0,NA,"SCHID27_STID137",0,1,"SCHID27_STID143","SCHID27_STID149","SCHID27_STID131","SCHID27_STID190","SCHID27_STID148","SCHID27_STID229",NA,NA,NA,NA,7,0,1,27,0,1,1,0
"4957",0,1,"SCHID27_STID138",0,1,"SCHID27_STID174","SCHID27_STID135","SCHID27_STID147","SCHID27_STID132","SCHID27_STID200","SCHID27_STID202","SCHID27_STID201","SCHID27_STID215","SCHID27_STID220","SCHID27_STID228",7,0,1,27,0,1,1,0
"4958",0,1,"SCHID27_STID139",1,1,"SCHID27_STID127","SCHID27_STID237","SCHID27_STID163","SCHID27_STID153","SCHID27_STID126","SCHID27_STID152","SCHID27_STID231","SCHID27_STID135","SCHID27_STID161","SCHID27_STID167",7,0,1,27,2,NA,1,1
"4959",0,1,"SCHID27_STID140",0,1,"SCHID27_STID49","SCHID27_STID157","SCHID27_STID28",NA,NA,NA,NA,NA,NA,NA,7,0,1,27,0,1,1,0
"4960",1,1,"SCHID27_STID141",1,0,"SCHID27_STID134","SCHID27_STID130","SCHID27_STID125","SCHID27_STID145","SCHID27_STID151","SCHID27_STID168","SCHID27_STID175","SCHID27_STID191","SCHID27_STID196","SCHID27_STID200",7,0,1,27,3,1,1,1
"4961",0,NA,"SCHID27_STID143",0,0,"SCHID27_STID149","SCHID27_STID131","SCHID27_STID137","SCHID27_STID180","SCHID27_STID62","SCHID27_STID70","SCHID27_STID79","SCHID27_STID77","SCHID27_STID99","SCHID27_STID163",7,0,1,27,0,1,0,0
"4962",0,1,"SCHID27_STID144",0,0,"SCHID27_STID151","SCHID27_STID145","SCHID27_STID125","SCHID27_STID126","SCHID27_STID128","SCHID27_STID139","SCHID27_STID134","SCHID27_STID147","SCHID27_STID138","SCHID27_STID153",7,1,1,27,0,1,1,0
"4963",0,1,"SCHID27_STID145",0,1,"SCHID27_STID141","SCHID27_STID134","SCHID27_STID130","SCHID27_STID125","SCHID27_STID128","SCHID27_STID151","SCHID27_STID191","SCHID27_STID200","SCHID27_STID175",NA,7,0,1,27,0,1,1,0
"4964",0,1,"SCHID27_STID146",1,1,"SCHID27_STID162","SCHID27_STID174","SCHID27_STID139","SCHID27_STID167","SCHID27_STID168","SCHID27_STID155",NA,NA,NA,NA,7,1,1,27,2,0,0,1
"4965",0,0,"SCHID27_STID147",0,1,"SCHID27_STID151","SCHID27_STID148","SCHID27_STID138","SCHID27_STID133","SCHID27_STID132","SCHID27_STID129","SCHID27_STID127","SCHID27_STID134","SCHID27_STID144","SCHID27_STID139",7,0,1,27,0,1,1,1
"4966",0,1,"SCHID27_STID148",0,0,"SCHID27_STID132","SCHID27_STID147","SCHID27_STID135","SCHID27_STID138","SCHID27_STID134","SCHID27_STID151","SCHID27_STID153","SCHID27_STID143","SCHID27_STID129","SCHID27_STID144",7,0,1,27,0,1,NA,0
"4967",0,NA,"SCHID27_STID149",0,0,"SCHID27_STID143","SCHID27_STID131","SCHID27_STID137","SCHID27_STID62","SCHID27_STID79","SCHID27_STID70","SCHID27_STID77",NA,NA,NA,7,0,1,27,0,1,1,0
"4968",0,1,"SCHID27_STID150",0,0,"SCHID27_STID134","SCHID27_STID141","SCHID27_STID130","SCHID27_STID145","SCHID27_STID125","SCHID27_STID129","SCHID27_STID128",NA,NA,NA,7,0,1,27,0,1,1,1
"4969",0,0,"SCHID27_STID151",1,1,"SCHID27_STID147","SCHID27_STID141","SCHID27_STID134","SCHID27_STID144","SCHID27_STID153","SCHID27_STID231","SCHID27_STID226",NA,NA,NA,7,1,1,27,3,1,1,0
"4970",0,1,"SCHID27_STID152",0,0,"SCHID27_STID153","SCHID27_STID231","SCHID27_STID127","SCHID27_STID143","SCHID27_STID226",NA,NA,NA,NA,NA,7,0,1,27,0,1,1,1
"4971",0,1,"SCHID27_STID153",1,1,"SCHID27_STID231","SCHID27_STID127","SCHID27_STID126","SCHID27_STID152","SCHID27_STID124",NA,NA,NA,NA,NA,7,1,1,27,2,1,1,0
